name,n_features,n_continous_features,n_categorical_features,n_samples,n_classes,minority_class_ratio,normalized_entropy,n_clusters,total_acc,total_bacc,total_kappa,total_log_loss,fit_time
eeg,14,14,0,14980,2,0.8142182390698801,0.9924223733876091,"[4, 4]",0.9067645749888741,0.8087465665781111,0.811024072480585,0.2574763566099742,0.7182909920011298
zebra,154,154,0,61488,2,0.047959914101646385,0.26812712351786033,"[4, 8]",0.967691223505177,0.3175274006773403,0.4618332481781874,0.1011345821293842,2.114445072002127
musk,167,166,1,6598,2,0.18222540763304068,0.6200985590130879,"[4, 4]",0.9964646464646465,0.9931392219231712,0.9865253742951585,0.009459555630712607,0.615121900998929
phishing,30,0,30,11055,2,0.7955172973850901,0.9906239227414301,"[12, 4]",0.969550798914682,0.9368466607000137,0.938214542525879,0.07762666310402068,0.7000765229968238
spam,57,57,0,4601,2,0.650286944045911,0.9673602371807668,"[12, 4]",0.9551049963794352,0.9079081453369877,0.9061588270236975,0.12450382990440867,0.7988439370019478
ijcnn1,22,22,0,191681,2,0.10630082591205278,0.4564666220671251,"[12, 12]",0.9892878880097383,0.9150349856105464,0.9368572503998039,0.0346353365425913,0.8184802270043292
diabetes,8,8,0,768,2,0.536,0.9331343166407832,"[8, 8]",0.7359307359307359,0.3832098765432099,0.3978977054223818,0.6515017004537382,9.476891232996422
credit-g,20,7,13,1000,2,0.42857142857142855,0.8812908992306927,"[4, 8]",0.7433333333333333,0.31587301587301586,0.34075342465753433,0.6180163245692312,0.390578138998535
svmguide3,22,22,0,1243,2,0.3125659978880676,0.7919226332852046,"[4, 8]",0.8230563002680965,0.4127235322044627,0.4587309265203817,0.5286712996606927,0.38148212899977807
web,123,123,0,36974,2,0.3158007117437722,0.7950510736032211,"[4, 8]",0.8366537456053367,0.5074675665215693,0.5312273840510205,0.3396021793980918,0.6385110060000443
mushroom,22,0,22,8124,2,0.9306083650190115,0.9990678968724604,"[4, 4]",1.0,1.0,1.0,3.2808822168727733e-05,0.33126833000278566
skin-segmentation,3,3,0,245057,2,0.2618925014675743,0.7367531276768885,"[4, 4]",0.999442313447047,0.9990543833836927,0.9983058418982198,0.002485020616663485,0.6983180410024943
mozilla4,5,5,0,15545,2,0.4894126664750407,0.9134838311406802,"[8, 8]",0.9539022298456261,0.8694070593853147,0.8927387161505911,0.13169082167085133,0.35406588700425345
electricity,8,7,1,45312,2,0.7377564717162033,0.9835093906057097,"[4, 4]",0.880094159187877,0.7510968560974551,0.7537347798146501,0.28724104214622154,0.44467686700227205
bank-marketing,16,7,9,45211,2,0.1324833425179099,0.5206312212538164,"[4, 4]",0.9074756708935418,0.4316766766632476,0.4908379168275855,0.19764707387309066,0.49172336199262645
magic-telescope,10,10,0,19020,2,0.5423289004216673,0.935515244546736,"[4, 4]",0.8829302488608483,0.7144717199752095,0.7356265075416618,0.28827991106996415,0.3859949439938646
phoeneme,5,5,0,5404,2,0.4154007333682556,0.8731822577241407,"[4, 4]",0.8822441430332922,0.7154222945722792,0.7158619196897797,0.28242618433038236,0.3353611539932899
nomao,118,89,29,34465,2,0.3998212907680435,0.8629999927875766,"[8, 12]",0.9683752417794971,0.9223974664491226,0.9224912218703503,0.08107380317484193,0.7149991609912831
click,9,9,0,39948,2,0.20252859723058397,0.6540751823932877,"[12, 8]",0.8354609929078014,0.052900366446512415,0.08263134568999264,0.41170188611817604,0.40121586600434966
jm1,21,21,0,10885,2,0.23989064813760108,0.7086892115305542,"[4, 4]",0.8083282302510717,0.15501162980690686,0.20155056923980563,0.44318804880170215,0.35855661900131963
poker,10,10,0,1025010,2,0.9953397105714986,0.9999960650698682,"[12, 12]",0.7147344903952156,0.4290907189205253,0.42925174957569123,0.5571438489417383,1.3853907459997572
hiva,1617,1617,0,42678,2,0.03650273224043716,0.21991608303409008,"[8, 4]",0.97125898156826,0.2951253077656657,0.4110364664827897,0.10579107776612938,25.336594345993944
ibn-sina,92,92,0,20722,2,0.6088509316770186,0.9569316244098871,"[12, 8]",0.980537236609297,0.9567196055605858,0.958551577199056,0.07268508570150177,2.431756913996651
ad,1558,3,1555,3279,2,0.16276595744680852,0.5841908881393563,"[12, 4]",0.9806910569105691,0.8805118717237126,0.9166443742977903,0.10107977249771657,22.046319578992552
pendigits,16,16,0,10992,10,0.9222027972027972,0.999651902159307,"[4, 4, 4, 4, 4, 4, 4, 4, 12, 4]",0.9909035779260158,0.9899043130751939,0.9898909264270126,0.05337436585900094,131.35252353799297
har,561,561,0,10299,6,0.7232510288065843,0.9965029959141158,"[12, 4, 12, 4, 4, 4]",0.9902912621359223,0.9887306516851251,0.9883208537392922,0.026365795455007682,5.2321016659843735
japanese-vowels,14,14,0,9961,9,0.48451053283767037,0.9880578395460131,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.9839411174305788,0.9799529836727472,0.9818065454183935,0.041404114765714595,3.1308836870011874
gas-drift,128,128,0,13910,6,0.5453639082751744,0.9848095792205207,"[4, 4, 4, 4, 8, 8]",0.9930505631440211,0.9909114935066655,0.9915680093967953,0.05081358408303334,2.637857542023994
japanese-vowels,14,14,0,9961,9,0.48451053283767037,0.9880578395460131,"[4, 4, 4, 4, 4, 4, 4, 4, 4]",0.9839411174305788,0.9799529836727472,0.9818065454183935,0.041404114765714595,3.2754516220011283
gas-drift,128,128,0,13910,6,0.5453639082751744,0.9848095792205207,"[4, 4, 4, 4, 8, 8]",0.9930505631440211,0.9909114935066655,0.9915680093967953,0.05081358408303334,2.258418070996413
connect-4,42,0,42,67557,3,0.14500933150450834,0.7687527975067274,"[8, 4, 8]",0.8388592855733176,0.44941636020890113,0.6470597155088149,0.42339722471394037,1.7389566930069122
satimage,36,36,0,6430,6,0.4082299150881777,0.9606955131275013,"[4, 4, 8, 12, 4, 4]",0.9212026956972524,0.879607822787778,0.9024750440047736,0.2713556538555179,2.1485689230030403
satimage,36,36,0,6430,6,0.4082299150881777,0.9606955131275013,"[4, 4, 8, 12, 4, 4]",0.9212026956972524,0.879607822787778,0.9024750440047736,0.2713556538555179,2.6086588930047583
usps,256,256,0,9298,10,0.4558918222794591,0.9852117555352837,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",0.9684587813620071,0.9615614348632388,0.9646601046810536,0.1466999233921211,4.237239199981559
dna,180,0,180,3186,3,0.4625151148730351,0.9336467959849357,"[12, 8, 4]",0.9686192468619247,0.9511044880785412,0.9491712863847103,0.15742886787888408,1.4085542409738991
isolet,617,617,0,7797,26,0.9933333333333333,0.9999996940148903,"[4, 4, 12, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",0.9517094017094017,0.9497777777777778,0.9497777777777778,0.21013435696603072,12.265255536010955
first-ord-theorem-prov,51,51,0,6118,6,0.19028974158183243,0.889764187072612,"[4, 12, 4, 12, 12, 12]",0.6236383442265795,0.41002344079424446,0.48652419234397815,1.1625372427539247,2.154708350019064
artificial-characters,7,7,0,10218,10,0.423728813559322,0.9888311598672045,"[12, 8, 4, 8, 12, 4, 8, 12, 4, 12]",0.8946510110893673,0.8789463991923266,0.8822924212934762,0.31104517930771786,7.288427654013503
splice,60,0,60,3190,3,0.4634441087613293,0.9338833372651767,"[12, 12, 4]",0.9582027168234065,0.9340652611320094,0.9323328207031871,0.17754625384752198,1.3244862349820323
ldpa,7,5,2,164860,11,0.025348751835535976,0.7837287581405016,"[8, 4, 12, 12, 4, 4, 12, 12, 12, 12, 12]",0.8112337741113672,0.5751766108982922,0.7608926545623095,0.5969592115374197,5.640989672014257
mnist,784,784,0,70000,10,0.8014472514916846,0.9993705253623139,"[4, 4, 4, 4, 4, 4, 4, 12, 4, 4]",0.9744285714285714,0.9714325404394052,0.9715779952963284,0.08206669649851303,43.5267403589969
letter,16,16,0,20000,26,0.9028290282902829,0.9998661845262039,"[4, 4, 12, 4, 8, 8, 4, 4, 12, 4, 8, 8, 8, 12, 4, 4, 8, 4, 12, 12, 8, 4, 4, 12, 12, 8]",0.9645,0.9628585246714243,0.9630785850072823,0.11318058598788533,9.969073304964695
letter,16,16,0,20000,26,0.9028290282902829,0.9998661845262039,"[4, 4, 12, 4, 8, 8, 4, 4, 12, 4, 8, 8, 8, 12, 4, 4, 8, 4, 12, 12, 8, 4, 4, 12, 12, 8]",0.9645,0.9628585246714243,0.9630785850072823,0.11318058598788533,19.318230090953875
isolet,617,617,0,7797,26,0.9933333333333333,0.9999996940148903,"[4, 4, 12, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",0.9517094017094017,0.9497777777777778,0.9497777777777778,0.21013435696603072,15.175196185009554
isolet,617,617,0,7797,26,0.9933333333333333,0.9999996940148903,"[4, 4, 12, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",0.9517094017094017,0.9497777777777778,0.9497777777777778,0.21013435696603072,13.204590524022933
ldpa,7,5,2,164860,11,0.025348751835535976,0.7837287581405016,"[8, 4, 12, 12, 4, 4, 12, 12, 12, 12, 12]",0.8112337741113672,0.5751766108982922,0.7608926545623095,0.5969592115374195,6.902412420022301
